solid,a_source_exp_A,a_SCAN_A,a_SCAN_L_A,a_r2SCAN_A,a_r2SCAN_L_A,ecoh_source_exp_eV_per_atom,ecoh_SCAN_eV_per_atom,ecoh_SCAN_L_eV_per_atom,ecoh_r2SCAN_eV_per_atom,ecoh_r2SCAN_L_eV_per_atom
C,3.553,3.557,3.574,3.564,3.571,7.550,7.495,7.361,7.458,7.353
Si,5.421,5.428,5.420,5.440,5.427,4.680,4.712,4.550,4.675,4.500
SiC,4.346,4.352,4.362,4.356,4.356,6.480,6.444,6.274,6.428,6.228
BN,3.592,3.607,3.615,3.614,3.620,6.760,6.832,6.771,6.785,6.709
BP,4.525,4.523,4.529,4.533,4.538,5.140,5.325,5.202,5.279,5.149
AlN,4.368,4.362,4.369,4.368,4.366,5.850,5.818,5.739,5.809,5.712
AlP,5.451,5.465,5.449,5.473,5.459,4.320,4.267,4.178,4.249,4.127
LiH,3.979,4.000,3.971,4.012,3.988,2.490,2.456,2.432,2.430,2.418
LiF,3.972,3.978,4.013,3.995,4.005,4.460,4.414,4.256,4.402,4.284
LiCl,5.070,5.094,5.061,5.111,5.073,3.590,3.505,3.413,3.477,3.409
MgO,4.189,4.187,4.205,4.197,4.197,5.200,5.246,5.157,5.246,5.129
