system,revPBE_vdW,rPW86_vdW2,optPBE_vdW,optB88_vdW,optB86b_vdW,LDA,PBEsol,PBE,experiment
Cu,111,97,129,138,149,190,165,139,142
Ag,67,61,85,95,104,139,116,89,109
Pd,137,119,161,172,187,227,203,168,195
Rh,221,193,248,258,276,320,295,256,269
Li,13.7,14.7,13.9,13.8,13.4,15.2,13.6,13.9,13.3
Na,7.39,7.96,7.73,7.81,7.65,9.50,7.86,7.71,7.5
K,3.58,3.97,3.80,3.95,3.79,4.60,3.71,3.56,3.7
Rb,2.82,3.14,3.02,3.21,3.05,3.54,2.93,2.79,2.9
Cs,2.07,2.28,2.04,2.30,2.01,2.58,2.00,1.98,2.1
Ca,16.4,17.7,16.9,17.6,17.3,19.1,17.4,17.2,18.4
Sr,11.4,12.5,12.3,13.2,13.0,14.8,12.9,11.5,12.4
Ba,9.04,9.77,9.59,9.92,9.64,10.9,9.33,8.95,9.3
Al,67.1,60.6,72.4,71.1,77.4,83.8,82.1,78.6,79.4
LiF,63.4,68.9,68.2,71.7,70.2,86.5,72.6,66.9,69.8
LiCl,30.3,32.3,32.9,34.5,34.3,40.8,35.0,31.6,35.4
NaF,43.6,48.8,46.9,49.4,47.5,61.2,48.0,44.6,51.4
NaCl,23.6,26.0,25.7,27.0,26.2,32.4,25.8,22.8,26.6
MgO,148,148,153,157,156,172,159,148,165
C,404,395,418,424,431,467,446,429,443
SiC,200,191,208,212,215,225,221,212,225
Si,82.8,79.6,86.9,88.7,91.2,96.8,93.8,88.3,99.2
Ge,48.7,42.8,54.7,57.3,61.5,72.6,67.0,58.6,75.8
GaAs,51.4,47.1,57.3,60.2,63.6,74.2,68.9,60.2,75.6
